MarketTrendID,TrendDescription,TrendStartDate,TrendEndDate
1,Market trend description 1,2023-10-31,2025-05-16
2,Market trend description 2,2021-11-03,2024-03-22
3,Market trend description 3,2020-07-04,2024-07-22
4,Market trend description 4,2020-03-19,2024-09-02
5,Market trend description 5,2020-12-26,2022-02-01
6,Market trend description 6,2020-02-29,2024-11-04
7,Market trend description 7,2024-06-18,2026-05-18
8,Market trend description 8,2020-02-16,2023-09-24
9,Market trend description 9,2024-02-01,2025-10-26
10,Market trend description 10,2024-04-10,2026-04-18
11,Market trend description 11,2022-07-25,2026-01-03
12,Market trend description 12,2020-10-27,2023-05-02
13,Market trend description 13,2022-07-23,2024-11-22
14,Market trend description 14,2024-01-25,2025-11-16
15,Market trend description 15,2021-11-06,2022-02-07
16,Market trend description 16,2023-06-05,2025-01-29
17,Market trend description 17,2022-06-13,2024-08-12
18,Market trend description 18,2021-02-10,2021-09-14
19,Market trend description 19,2022-05-13,2025-09-05
20,Market trend description 20,2023-08-16,2026-02-17
21,Market trend description 21,2020-04-20,2020-06-16
22,Market trend description 22,2020-06-26,2026-04-04
23,Market trend description 23,2021-08-06,2023-11-03
24,Market trend description 24,2020-06-18,2026-01-21
25,Market trend description 25,2023-10-23,2024-10-28
26,Market trend description 26,2022-04-27,2024-08-07
27,Market trend description 27,2023-10-28,2024-03-04
28,Market trend description 28,2022-09-04,2023-07-25
29,Market trend description 29,2022-06-11,2025-03-22
30,Market trend description 30,2023-06-28,2024-01-30
31,Market trend description 31,2023-07-10,2025-10-20
32,Market trend description 32,2020-11-25,2021-05-30
33,Market trend description 33,2020-01-07,2020-08-16
34,Market trend description 34,2024-03-19,2025-07-08
35,Market trend description 35,2022-02-17,2026-06-08
36,Market trend description 36,2022-07-06,2025-01-16
37,Market trend description 37,2022-07-07,2025-01-07
38,Market trend description 38,2021-05-22,2024-02-05
39,Market trend description 39,2022-05-14,2025-12-22
40,Market trend description 40,2020-02-15,2021-01-31
41,Market trend description 41,2021-12-08,2025-05-24
42,Market trend description 42,2023-12-16,2024-05-28
43,Market trend description 43,2023-05-26,2024-02-02
44,Market trend description 44,2022-07-22,2025-01-20
45,Market trend description 45,2023-01-21,2024-07-20
46,Market trend description 46,2022-01-15,2025-07-10
47,Market trend description 47,2020-03-11,2023-08-03
48,Market trend description 48,2022-05-18,2025-09-25
49,Market trend description 49,2021-09-03,2023-03-22
50,Market trend description 50,2021-08-26,2023-10-14
51,Market trend description 51,2023-04-12,2026-06-18
52,Market trend description 52,2023-11-01,2023-12-08
53,Market trend description 53,2022-09-25,2026-04-25
54,Market trend description 54,2021-10-07,2025-02-21
55,Market trend description 55,2020-04-28,2021-06-02
56,Market trend description 56,2023-11-23,2026-05-23
57,Market trend description 57,2022-08-13,2024-06-09
58,Market trend description 58,2020-07-30,2023-07-11
59,Market trend description 59,2021-04-17,2025-10-28
60,Market trend description 60,2021-11-20,2024-04-10
61,Market trend description 61,2023-09-17,2024-01-31
62,Market trend description 62,2021-07-01,2026-04-06
63,Market trend description 63,2023-10-09,2024-10-12
64,Market trend description 64,2021-05-05,2021-12-09
65,Market trend description 65,2020-09-07,2025-04-10
66,Market trend description 66,2022-10-14,2024-05-08
67,Market trend description 67,2022-06-16,2024-04-17
68,Market trend description 68,2021-07-15,2025-07-22
69,Market trend description 69,2023-02-12,2026-03-16
70,Market trend description 70,2023-11-25,2024-12-04
71,Market trend description 71,2022-05-07,2025-01-30
72,Market trend description 72,2021-03-22,2025-05-09
73,Market trend description 73,2022-02-04,2025-08-06
74,Market trend description 74,2022-12-06,2023-10-15
75,Market trend description 75,2022-02-04,2023-12-31
76,Market trend description 76,2020-12-01,2022-03-03
77,Market trend description 77,2020-04-13,2020-09-26
78,Market trend description 78,2023-05-27,2025-04-09
79,Market trend description 79,2020-03-16,2020-09-11
80,Market trend description 80,2024-02-28,2024-08-19
81,Market trend description 81,2021-09-05,2022-01-26
82,Market trend description 82,2023-06-21,2025-12-27
83,Market trend description 83,2022-07-13,2025-03-13
84,Market trend description 84,2021-01-24,2024-10-30
85,Market trend description 85,2023-11-15,2024-12-08
86,Market trend description 86,2021-08-17,2023-06-01
87,Market trend description 87,2022-11-30,2023-03-22
88,Market trend description 88,2020-03-28,2020-04-02
89,Market trend description 89,2020-09-05,2024-09-29
90,Market trend description 90,2022-10-08,2024-06-27
91,Market trend description 91,2022-09-17,2024-09-10
92,Market trend description 92,2023-10-14,2024-07-05
93,Market trend description 93,2020-12-08,2023-07-10
94,Market trend description 94,2020-11-01,2021-08-07
95,Market trend description 95,2021-01-08,2024-11-15
96,Market trend description 96,2024-03-16,2025-09-04
97,Market trend description 97,2022-03-08,2023-11-26
98,Market trend description 98,2023-07-26,2024-08-23
99,Market trend description 99,2022-11-12,2026-02-13
100,Market trend description 100,2024-06-08,2025-12-11
